"","Date","Index","Open","High","Low","Close","Volume","Adjusted"
"1","2016-03-14","FB",109.279999,110.330002,108.769997,109.889999,17249400,109.889999
"2","2016-03-15","FB",109.110001,110.830002,108.839996,110.669998,17618500,110.669998
"3","2016-03-16","FB",110.489998,112.5,110.099998,112.18,24744800,112.18
"4","2016-03-17","FB",112.150002,112.690002,110.730003,111.019997,24241200,111.019997
"5","2016-03-18","FB",111.559998,112.419998,110.269997,111.449997,36256900,111.449997
"6","2016-03-21","FB",111.660004,112.370003,111.029999,111.849998,18448000,111.849998
"7","2016-03-22","FB",111.360001,112.879997,111.169998,112.25,19001100,112.25
"8","2016-03-23","FB",112.010002,113.190002,112,112.540001,18562000,112.540001
"9","2016-03-24","FB",112.129997,113.089996,111.68,113.050003,17839100,113.050003
"10","2016-03-28","FB",113.32,114.589996,112.949997,113.690002,21351800,113.690002
"11","2016-03-29","FB",113.830002,116.32,113.639999,116.139999,29825300,116.139999
"12","2016-03-30","FB",116.730003,116.989998,114.360001,114.699997,33235200,114.699997
"13","2016-03-31","FB",114.699997,115.010002,113.769997,114.099998,21207500,114.099998
"14","2016-04-01","FB",113.75,116.169998,113.349998,116.059998,24760500,116.059998
"15","2016-04-04","FB",114.07,114.550003,111.610001,112.550003,48487900,112.550003
"16","2016-04-05","FB",112.110001,113.32,111.900002,112.220001,22962400,112.220001
"17","2016-04-06","FB",112.470001,113.809998,112.419998,113.709999,20814600,113.709999
"18","2016-04-07","FB",113.790001,114.889999,113.07,113.639999,20714500,113.639999
"19","2016-04-08","FB",114.25,114.330002,109.900002,110.629997,48497800,110.629997
"20","2016-04-11","FB",110.699997,110.910004,108.769997,108.989998,39762300,108.989998
"21","2016-04-12","FB",109.339996,111.160004,108.989998,110.610001,26248100,110.610001
"22","2016-04-13","FB",112.230003,112.650002,106.519997,110.510002,88227400,110.510002
"23","2016-04-14","FB",110.620003,112.040001,110.260002,110.839996,28473300,110.839996
"24","2016-04-15","FB",110.790001,110.970001,109.199997,109.639999,20922800,109.639999
"25","2016-04-18","FB",109.739998,110.809998,109.199997,110.449997,21167200,110.449997
"26","2016-04-19","FB",111.099998,112.449997,109.160004,112.290001,30210500,112.290001
"27","2016-04-20","FB",112.43,113.269997,111.559998,112.419998,21027900,112.419998
"28","2016-04-21","FB",112.550003,114.040001,112.309998,113.440002,20875200,113.440002
"29","2016-04-22","FB",111.209999,111.75,109.010002,110.559998,38458200,110.559998
"30","2016-04-25","FB",109.870003,110.669998,109.07,110.099998,21017900,110.099998
"31","2016-04-26","FB",110.489998,110.5,108.150002,108.760002,22521500,108.760002
"32","2016-04-27","FB",107.940002,108.940002,106.309998,108.889999,52213100,108.889999
"33","2016-04-28","FB",119.580002,120.790001,116.230003,116.730003,87110100,116.730003
"34","2016-04-29","FB",116.82,117.839996,115.839996,117.580002,37140600,117.580002
"35","2016-05-02","FB",117.830002,118.730003,116.57,118.57,28095200,118.57
"36","2016-05-03","FB",117.519997,118.160004,117.019997,117.43,24117500,117.43
"37","2016-05-04","FB",116.610001,118.300003,116.57,118.059998,23448400,118.059998
"38","2016-05-05","FB",118.040001,118.980003,117.25,117.809998,22056700,117.809998
"39","2016-05-06","FB",117.160004,119.639999,117.110001,119.489998,26395600,119.489998
"40","2016-05-09","FB",119.540001,120.279999,118.900002,119.239998,21138100,119.239998
"41","2016-05-10","FB",119.620003,120.5,119,120.5,23220000,120.5
"42","2016-05-11","FB",120.410004,121.080002,119.419998,119.519997,22038400,119.519997
"43","2016-05-12","FB",119.980003,120.839996,118.900002,120.279999,22035500,120.279999
"44","2016-05-13","FB",120.379997,120.639999,119.68,119.809998,18124300,119.809998
"45","2016-05-16","FB",119.379997,119.610001,117.349998,118.669998,31247800,118.669998
"46","2016-05-17","FB",118.82,119.010002,117.199997,117.349998,21328600,117.349998
"47","2016-05-18","FB",116.800003,118.269997,116.730003,117.650002,21642300,117.650002
"48","2016-05-19","FB",117.050003,117.489998,115.879997,116.809998,20544100,116.809998
"49","2016-05-20","FB",116.959999,117.989998,116.949997,117.349998,18944800,117.349998
"50","2016-05-23","FB",117.419998,117.599998,115.940002,115.970001,20441000,115.970001
"51","2016-05-24","FB",116.239998,117.730003,116.120003,117.699997,20183600,117.699997
"52","2016-05-25","FB",118.129997,118.669998,117.379997,117.889999,20019800,117.889999
"53","2016-05-26","FB",118.239998,119.760002,117.919998,119.470001,18481300,119.470001
"54","2016-05-27","FB",119.559998,119.849998,119.010002,119.379997,13493600,119.379997
"55","2016-05-31","FB",119.459999,120.099998,118.120003,118.809998,23547600,118.809998
"56","2016-06-01","FB",118.5,119.080002,117.82,118.779999,15029500,118.779999
"57","2016-06-02","FB",118.690002,119.440002,118.220001,118.93,13228300,118.93
"58","2016-06-03","FB",118.980003,118.980003,117.860001,118.470001,14135100,118.470001
"59","2016-06-06","FB",118.620003,119.43,118.360001,118.790001,12744700,118.790001
"60","2016-06-07","FB",119.239998,119.300003,117.669998,117.760002,17103000,117.760002
"61","2016-06-08","FB",117.760002,118.599998,117.269997,118.389999,14505600,118.389999
"62","2016-06-09","FB",118.129997,118.68,117.709999,118.559998,13859200,118.559998
"63","2016-06-10","FB",117.540001,118.110001,116.260002,116.620003,18510800,116.620003
"64","2016-06-13","FB",115,115.480003,113.309998,113.949997,31718200,113.949997
"65","2016-06-14","FB",114.07,114.949997,113.580002,114.940002,17618500,114.940002
"66","2016-06-15","FB",115.300003,115.440002,114.07,114.599998,19819400,114.599998
"67","2016-06-16","FB",113.870003,114.5,112.940002,114.389999,19236300,114.389999
"68","2016-06-17","FB",114.419998,114.43,112.559998,113.019997,24644300,113.019997
"69","2016-06-20","FB",113.769997,114.720001,112.75,113.370003,20785400,113.370003
"70","2016-06-21","FB",114.120003,115.209999,113.970001,114.379997,19166300,114.379997
"71","2016-06-22","FB",114.650002,114.739998,113.610001,113.910004,14846300,113.910004
"72","2016-06-23","FB",114.370003,115.089996,113.540001,115.080002,16176900,115.080002
"73","2016-06-24","FB",111.010002,113.68,111,112.080002,40643100,112.080002
"74","2016-06-27","FB",111.57,111.57,108.230003,108.970001,36130400,108.970001
"75","2016-06-28","FB",110.629997,112.75,110.550003,112.699997,26813800,112.699997
"76","2016-06-29","FB",113.370003,114.25,113.040001,114.160004,20968300,114.160004
"77","2016-06-30","FB",114.669998,115.18,113.669998,114.279999,23192700,114.279999
"78","2016-07-01","FB",114.199997,115.129997,113.809998,114.190002,14980000,114.190002
"79","2016-07-05","FB",113.940002,114.199997,112.970001,114.199997,14207000,114.199997
"80","2016-07-06","FB",113.360001,116.790001,112.970001,116.699997,24337600,116.699997
"81","2016-07-07","FB",116.629997,116.970001,115.360001,115.849998,16630200,115.849998
"82","2016-07-08","FB",116.43,117.5,115.849998,117.239998,18142600,117.239998
"83","2016-07-11","FB",117.709999,118.699997,117.5,117.870003,17711600,117.870003
"84","2016-07-12","FB",118.629997,118.720001,117.57,117.93,15217700,117.93
"85","2016-07-13","FB",118.389999,118.400002,116.68,116.779999,16207700,116.779999
"86","2016-07-14","FB",117.5,117.639999,116.699997,117.290001,14579700,117.290001
"87","2016-07-15","FB",117.739998,118.279999,116.580002,116.860001,16646000,116.860001
"88","2016-07-18","FB",117.32,119.610001,116.889999,119.370003,20868400,119.370003
"89","2016-07-19","FB",118.989998,120.849998,118.660004,120.610001,21541300,120.610001
"90","2016-07-20","FB",121.25,122.199997,120.559998,121.919998,20046500,121.919998
"91","2016-07-21","FB",121.919998,122.099998,120.25,120.610001,17801700,120.610001
"92","2016-07-22","FB",119.900002,121.010002,119.309998,121,18422400,121
"93","2016-07-25","FB",121.389999,121.849998,117.779999,121.629997,18487400,121.629997
"94","2016-07-26","FB",122,122.07,120.75,121.220001,17612000,121.220001
"95","2016-07-27","FB",122.419998,125,121.510002,123.339996,52654200,123.339996
"96","2016-07-28","FB",127.519997,128.330002,123.629997,125,78955800,125
"97","2016-07-29","FB",124.650002,125.839996,123.709999,123.940002,35058800,123.940002
"98","2016-08-01","FB",123.849998,124.580002,122.860001,124.309998,25006900,124.309998
"99","2016-08-02","FB",124.059998,124.800003,122.07,123.089996,23968400,123.089996
"100","2016-08-03","FB",123.089996,123.919998,122.309998,122.510002,18525300,122.510002
"101","2016-08-04","FB",122.940002,124.790001,122.510002,124.360001,21066000,124.360001
"102","2016-08-05","FB",124.980003,125.839996,124.620003,125.150002,20184000,125.150002
"103","2016-08-08","FB",125.25,125.449997,124.550003,125.260002,15233900,125.260002
"104","2016-08-09","FB",125.339996,126.089996,124.529999,125.059998,19621000,125.059998
"105","2016-08-10","FB",125.07,125.480003,124.540001,124.879997,10670100,124.879997
"106","2016-08-11","FB",125.199997,125.379997,124.75,124.900002,11729500,124.900002
"107","2016-08-12","FB",124.699997,125,124.18,124.879997,12159000,124.879997
"108","2016-08-15","FB",124.910004,124.919998,123.699997,123.900002,19295100,123.900002
"109","2016-08-16","FB",123.5,123.919998,122.779999,123.300003,14222400,123.300003
"110","2016-08-17","FB",123.660004,124.379997,122.849998,124.370003,13794200,124.370003
"111","2016-08-18","FB",124.010002,124.260002,123.639999,123.910004,12400800,123.910004
"112","2016-08-19","FB",123.599998,124.160004,123.279999,123.559998,11688300,123.559998
"113","2016-08-22","FB",123.330002,124.830002,123.110001,124.150002,14386400,124.150002
"114","2016-08-23","FB",124.510002,125.089996,124.25,124.370003,13309500,124.370003
"115","2016-08-24","FB",124.470001,124.690002,123.089996,123.480003,12243700,123.480003
"116","2016-08-25","FB",123.120003,124.370003,123.099998,123.889999,10730800,123.889999
"117","2016-08-26","FB",124.050003,125.190002,123.910004,124.959999,17504800,124.959999
"118","2016-08-29","FB",124.349998,126.730003,124.349998,126.540001,15925900,126.540001
"119","2016-08-30","FB",126.599998,126.599998,125.150002,125.839996,17804300,125.839996
"120","2016-08-31","FB",125.599998,126.220001,125.099998,126.120003,14200600,126.120003
"121","2016-09-01","FB",126.379997,126.629997,125.599998,126.169998,13536100,126.169998
"122","2016-09-02","FB",126.849998,126.860001,126,126.510002,12118800,126.510002
"123","2016-09-06","FB",126.669998,129.940002,126.470001,129.729996,26278400,129.729996
"124","2016-09-07","FB",130.039993,131.979996,129.949997,131.050003,27990800,131.050003
"125","2016-09-08","FB",130.919998,131.080002,129.809998,130.270004,15676600,130.270004
